timepoint,cluster,group
Mock,C,1
Mock,J,2
Mock,G,3
Mock,B,4
Mock,A,5
Mock,G,6
Mock,B,7
Mock,E,8
Mock,D,9
Mock,E,10
Mock,H,11
Mock,F,12
Mock,C,13
Mock,E,14
Mock,H,15
Mock,G,16
SYN-1,"(D,E)",17
SYN-1,E|1,18
SYN-1,E|1,19
SYN-1,"(G|2,H|1)",20
SYN-1,"(A,B|1,G|1)",21
SYN-1,C|1,22
SYN-1,C|1,23
SYN-1,"(A,B|1,G|1)",24
SYN-1,"(B,G)",25
SYN-1,"(F,H)",26
SYN-1,J,27
SYN-1,J,28
SYN-2,"(D,E)",29
SYN-2,E|1,30
SYN-2,E|1,31
SYN-2,K,32
SYN-2,L,33
SYN-2,J|1,34
SYN-2,J|1,35
SYN-2,"((A,B|1,G|1)|1,(B,G))",36
SYN-2,"((A,B|1,G|1),C|1)",37
SYN-2,"((F,H),J)",38
SYN-2,M,39
SYN-2,"((A,B|1,G|1),C|1)",40
SYN-2,"(G|2,H|1)",41
SYN-2,"((A,B|1,G|1),C|1)",42
SYN-2,"(G|2,H|1)",43
SYN-3,"(D,E)",44
SYN-3,E|1,45
SYN-3,E|1,46
SYN-3,"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",47
SYN-3,"(((F,H),J),M)",48
SYN-3,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",49
SYN-3,"((A,B|1,G|1),C|1)|2",50
SYN-3,"(G|2,H|1)|1",51
SYN-3,"(((F,H),J),M)",52
SYN-3,J|1,53
SYN-3,J|1,54
SYN-3,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",55
SYN-1,C,1
SYN-1,J,2
SYN-1,"(A,B|1,G|1)",3
SYN-1,"(A,B|1,G|1)",4
SYN-1,"(A,B|1,G|1)",5
SYN-1,"(B,G)",6
SYN-1,"(B,G)",7
SYN-1,"(D,E)",8
SYN-1,"(D,E)",9
SYN-1,E|1,10
SYN-1,"(F,H)",11
SYN-1,"(F,H)",12
SYN-1,C|1,13
SYN-1,E|2,14
SYN-1,"(G|2,H|1)",15
SYN-1,"(G|2,H|1)",16
SYN-2,"(D,E)",17
SYN-2,E|1,18
SYN-2,E|1,19
SYN-2,"(G|2,H|1)",20
SYN-2,"((A,B|1,G|1),C|1)",21
SYN-2,"((A,B|1,G|1),C|1)",22
SYN-2,"((A,B|1,G|1),C|1)",23
SYN-2,"((A,B|1,G|1)|1,(B,G))",24
SYN-2,"((A,B|1,G|1)|1,(B,G))",25
SYN-2,"((F,H),J)",26
SYN-2,"((F,H),J)",27
SYN-2,J|1,28
SYN-3,"(D,E)",29
SYN-3,E|1,30
SYN-3,E|1,31
SYN-3,K,32
SYN-3,L,33
SYN-3,J|1,34
SYN-3,J|1,35
SYN-3,"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",36
SYN-3,"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",37
SYN-3,"(((F,H),J),M)",38
SYN-3,"(((F,H),J),M)",39
SYN-3,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",40
SYN-3,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",41
SYN-3,"((A,B|1,G|1),C|1)|2",42
SYN-3,"(G|2,H|1)|1",43
SYN-4,"(D,E)",44
SYN-4,E|1,45
SYN-4,E|1,46
SYN-4,"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",47
SYN-4,"(((F,H),J),M)",48
SYN-4,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",49
SYN-4,"((A,B|1,G|1),C|1)|2",50
SYN-4,"(G|2,H|1)|1",51
SYN-4,"((((F,H),J),M)|1,J|1)",52
SYN-4,"((((F,H),J),M)|1,J|1)",53
SYN-4,"((((F,H),J),M)|1,J|1)",54
SYN-4,"(((A,B|1,G|1),C|1)|1,(G|2,H|1))|1",55
